;»ÕÕ;»ÕÕ_id
455;7710390358;8544
456;7703386329;7475
457;7812014560;10517
458;5042059767;4231
459;5047254063;4308
460;7707767220;8195
461;7703370008;7465
462;7736216869;9977
463;7736520080;9989
464;7736035485;9949
465;5029069967;4066
466;7708619320;8300
467;7703647595;7554
468;7707548740;8168
469;7814148471;10586
470;7712040126;8634
471;7709602713;8414
472;2540167061;1862
473;7727547261;9509
474;5003052454;3878
475;7706061801;7978
476;4823006703;3784
477;7733571872;9860
478;7706107510;7985
0;1659143468;937
1;4620003383;3538
2;5044024417;4256
3;7801012233;10132
5;0274170131;114
6;3652000739;2654
7;6730053398;6342
8;5008058393;3917
9;5402160684;4679
10;3528175491;2625
11;7710431565;8548
13;6672292242;6245
14;4101036716;3139
15;7711000924;8620
16;2130104830;1205
17;7708029391;8210
19;7702235119;7315
20;6658070216;6065
21;7705038550;7844
22;9715352487;11378
23;1901020300;1093
24;5022032904;3981
26;2310004087;1391
27;2310140001;1404
28;7721242760;9142
29;3906397431;2967
30;2724068790;2005
31;5501081377;4878
32;7840346335;10814
33;7415029289;6896
34;6501157613;5898
35;0264054873;43
36;3730006473;2776
37;7203223118;6739
38;7726050389;9402
39;7409000147;6873
40;5504204130;4916
41;5951000096;5305
42;7743830533;10073
43;7802922740;10246
44;3232001546;2300
46;1435289661;579
47;5223004199;4421
48;6163070862;5477
49;7703369940;7464
50;5606003136;4971
51;7327028529;6846
52;7702787952;7397
53;5260139846;4562
54;5007094208;3908
55;9108124167;11089
56;3110005952;2165
57;1643011427;657
58;7714081921;8723
59;7743637794;10058
60;4808002870;3745
61;6102032852;5343
62;1658148456;922
63;8617001665;10972
64;3120087288;2181
65;4101996233;3150
66;7706030458;7972
67;4633015146;3598
68;3525401287;2609
69;2265002825;1304
70;9703001798;11175
71;3457001560;2574
72;2309051942;1372
73;2801213170;2041
75;7204002009;6768
76;5024222851;4031
77;9705053872;11270
78;9102012971;11060
79;7841342710;10837
80;7709935631;8449
81;7724313681;9290
82;7744000126;10085
83;3802010390;2798
84;7826095584;10696
85;7719571260;9080
86;9714008450;11361
87;1648027413;721
88;1840014160;1074
89;5017121884;3957
90;7728114197;9541
91;7709444369;8392
92;9703073496;11213
93;6230096851;5619
94;6312102369;5654
95;6163142891;5483
96;5050155880;4339
97;7701229659;7206
98;6202004947;5579
99;7707414785;8143
100;7716237691;8910
101;4216008176;3319
102;0278127289;160
103;7710168360;8506
104;7714029600;8710
105;5753000457;5109
106;7831000612;10736
107;1657049075;899
108;7707211418;8118
109;3804031477;2804
110;7707286396;8128
111;6165144855;5516
