;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
5905;30.20.9;452
5906;68.20.2;957
5907;70.22;980
5908;85.22;1109
5909;73.11;1019
5910;46.21;607
5911;70.22;980
5912;38.1;515
5913;94.12;1164
5914;71.11;982
5915;69.10;972
5916;55.10;851
5917;70.10.1;977
5918;62.01;880
5919;58.14;863
5920;85.11;1104
5921;69.10;972
5922;35.11.1;489
5923;41.20;528
5924;64.19;896
5925;45.11.2;565
5927;49.4;796
5928;01.64;35
5929;41.20;528
5930;52.23.11;840
5931;84.11.12;1068
5932;10.51.1;120
5935;64.19;896
5936;62.09;885
5937;68.20.2;957
5938;52.10.3;821
5939;50.40;810
5940;94.92;1169
5941;46.73;702
5942;84.25;1100
5943;46.73;702
5944;23.91;276
5945;72.20;1015
5946;71.12.6;997
5947;56.10;855
5948;94.12;1164
5950;31.01;466
5951;33.12;480
5952;01.47;25
5953;64.99.1;909
5954;62.01;880
5955;70.10.1;977
5958;46.75.2;714
5959;46.74.1;709
5960;46.18.1;601
5962;68.32;968
5963;46.90;720
5964;45.19;567
5965;47.52.4;749
5966;26.51.2;358
5968;70.21;979
5969;85.21;1108
5970;52.10;818
5971;01.62;34
5973;43.12.3;543
5974;35.3;501
5976;84.11.11;1067
5977;36.00.2;513
5978;49.50.21;804
5979;46.73;702
5980;85.21;1108
5981;23.13;255
5982;93.19;1156
5983;52.29;845
5984;94.20;1166
5985;62.0;879
5986;68.20.2;957
5987;70.22;980
5988;47.52.73;752
5989;85.21;1108
5990;70.22;980
5991;73.20.1;1022
5992;86.90.4;1126
5994;46.72;697
5995;46.73;702
5996;65.12;919
5997;46.61;677
5998;01.47.11;26
5999;38.1;515
6000;66.21;941
6001;85.14;1107
6002;25.61;323
6003;10.41.5;116
6004;93.11;1153
6006;46.31.2;617
6007;85.21;1108
6008;58.14;863
6009;52.24.2;844
6010;94.12;1164
6011;10.13.2;101
6012;68.20.2;957
6013;59.13;867
6014;47.30;741
6015;84.11.7;1083
6017;16.10.1;182
6018;23.1;252
6019;74.90.2;1027
6020;46.4;646
6021;82.99;1063
6022;85.22;1109
6024;70.22;980
6025;21.20;239
6026;85.22;1109
6027;22.11;243
6028;69.20;973
6030;42.13;531
6031;45.11;563
6032;90.0;1133
6033;68.32;968
6034;64.20;897
6035;25.50;321
6036;28.30.8;416
6037;71.1;981
6038;35.13;495
6039;27.12;373
6040;43.29;549
6041;08.93;85
6042;30.30.3;458
6043;45.3;577
6044;84.11.22;1072
6045;41.20;528
6046;27.12;373
6047;62.01;880
6048;68.20.2;957
6049;33.12;480
6050;41.2;527
6052;85.11;1104
6053;10.1;94
6054;84.23.13;1093
6055;07.29.1;72
6056;46.73.3;704
6057;84.23.13;1093
6058;61.10;873
6059;68.20.2;957
6061;84.11.2;1070
6062;71.20;1003
6064;94.91;1168
6065;26.60.1;364
6066;46.32.1;619
6068;42.91.2;537
6069;10.41.2;115
6070;86.10;1121
6071;69.10;972
6072;66.30;945
6073;62.01;880
6074;84.11.3;1074
6075;73.11;1019
6076;21.20;239
6077;46.69.5;689
6078;84.11.1;1066
6080;71.12.2;989
6081;35.14;496
6082;09.10.1;90
6083;68.10;950
6084;35.30.14;505
6085;62.01;880
6086;58.11;860
6087;29.10.1;431
6088;84.11.3;1074
6089;69.10;972
6090;46.72.21;700
6091;94.99;1170
6092;30.30.3;458
6093;35.11.1;489
6094;94.12;1164
6095;46.90;720
6096;01.11.1;2
6097;84.24;1099
6098;84.11.21;1071
6099;94.20;1166
6100;85.11;1104
6101;35.11.1;489
6102;52.21.22;830
6103;65.12.9;922
6104;70.22;980
6105;74.90.9;1029
6106;85.13;1106
6107;68.32.2;970
6108;49.41.1;798
6109;84.11.3;1074
6110;47.25;735
6111;29.10.5;435
6112;01.47;25
6113;71.12;984
6114;01.11;1
6115;01.11;1
6116;71.20;1003
6117;64.92.7;907
6118;84.11.12;1068
6119;10.51.3;122
6120;72.20;1015
6121;64.99;908
6122;45.11.2;565
6123;47.71;761
6124;42.22;533
6126;84.11.21;1071
6127;28.92;424
6128;35.22;499
6129;94.12;1164
6130;84.11.12;1068
6131;46.51;672
6132;93.19;1156
6133;42.91.1;536
6134;41.2;527
6135;27.32;378
6136;64.99.1;909
6137;84.11.4;1080
6138;46.69.2;686
6139;84.11.21;1071
6140;68.20.2;957
6141;78.10;1044
6142;43.12.3;543
6144;84.11.3;1074
6145;66.12.2;932
6146;82.30;1060
6147;84.11.8;1084
6148;68.32;968
6149;64.91;900
6150;72.19;1012
6151;64.92.7;907
6152;46.45;659
6153;23.51;268
6154;46.71;693
6155;85.22;1109
6156;06.10.1;64
6157;85.41;1112
6158;85.22;1109
6160;23.99.3;280
6161;63.11;887
6162;68.20.2;957
6163;42.21;532
6164;85.14;1107
6165;01.13.51;7
6166;70.22;980
6167;07.29.41;76
6168;45.1;562
6170;64.19;896
6171;64.19;896
6172;64.20;897
6173;85.13;1106
6175;25.21;312
6177;64.19;896
6178;42.11;529
6179;49.50.11;802
6180;69.20.2;975
6181;64.91;900
6182;35.22;499
6183;92.1;1148
6184;10.5;118
6185;66.12;930
6186;84.11.21;1071
6187;64.99.1;909
6188;46.34.23;629
6189;85.22;1109
6190;52.22.2;837
6191;25.50;321
6192;85.22;1109
6193;90.01;1134
6194;46.75.1;713
6195;63.11.1;888
6196;45.19;567
6197;43.12.3;543
6198;84.25.9;1102
6199;66.22;942
6200;66.19.4;935
6201;82.92;1062
6202;62.09;885
6204;94.99;1170
6205;68.32.1;969
6206;13.96;170
6207;29.10.5;435
6208;63.11.1;888
6209;06.10.1;64
6212;68.32.1;969
6213;62.09;885
6215;01.11;1
6216;86.10;1121
6217;49.41;797
6219;30.11;442
6220;01.13;3
6221;20.30;222
6222;41.20;528
6223;79.11;1048
6224;08.99.32;87
6225;29.10;430
6226;21.20.1;240
6227;41.20;528
6228;45.19;567
6229;10.71;131
6230;84.11.11;1067
6232;62.01;880
6233;24.44;301
6234;16.21.1;186
6235;10.39;110
6236;47.11;722
6237;35.14;496
6238;46.45;659
6239;10.91;150
6240;62.01;880
6242;46.46.1;662
6243;13.95;169
6244;90.01;1134
6245;85.22;1109
6246;50.30;808
6247;33.15;483
6248;01.13;3
6249;87.90;1130
6250;46.90;720
6251;84.11.12;1068
6252;26.11.2;339
6253;46.1;582
6255;71.12.1;985
6258;86.21;1122
6259;35.11.1;489
6260;94.11;1163
6261;62.01;880
6262;68.20;956
6263;93.29.9;1161
6264;52.29;845
6265;68.20.2;957
6266;70.22;980
6267;84.11.13;1069
6268;46.69;684
6269;71.12.2;989
6270;47.65;759
6271;46.66;683
6272;19.20;205
6274;70.10.1;977
6275;72.19;1012
6276;23.61;271
6277;03.11;44
6278;52.29;845
6279;63.11.1;888
6280;71.12;984
6281;42.11;529
6283;72.19;1012
6284;85.21;1108
6285;01.61;33
6286;10.51.9;123
6288;46.42;648
6290;85.11;1104
6291;87.90;1130
6292;69;971
6293;94.99;1170
6294;68.20.2;957
6295;09.10.9;92
6296;84.11.21;1071
6297;45.11.2;565
6298;84.11.11;1067
6299;84.11.21;1071
6300;52.23.11;840
6301;23.19.7;257
6302;23.61;271
6303;28.30;412
6304;85.22;1109
6305;41.20;528
6306;64.19;896
6307;63.11;887
6308;86.21;1122
6309;10.71;131
6310;41.20;528
6311;84.11.21;1071
6312;93.19;1156
6313;07.29.8;79
6314;46.36.1;632
6315;72.20;1015
6316;24.10;284
6317;84.11.3;1074
6318;84.23.17;1094
6319;72.19;1012
6321;45.31.1;579
6322;55.10;851
6323;72.19;1012
6324;70.10.1;977
6325;77.40;1043
6326;94.99;1170
6327;64.19;896
6328;28.12;391
6329;10.84;142
6330;85.22;1109
6331;93.19;1156
6332;46.15;594
6333;01.47;25
6334;28.9;422
6335;35.11.1;489
6336;64.19;896
6337;70.10.1;977
6338;19.20;205
6339;46.34;625
6340;27.11;371
6341;24.45;302
6342;05.10.13;55
6343;10.20;106
6344;68.31;960
6345;62.09;885
6347;26.70.1;368
6348;64.99.1;909
6349;94.20;1166
6350;70.22;980
6351;45.11.2;565
6352;30.20;445
6353;84.11.21;1071
6354;20.42;229
6355;71.12.2;989
6356;35.11.1;489
6357;71.12.2;989
6358;10.41.2;115
6361;26.20;344
6362;03.11;44
6363;68.31;960
6364;28.29;407
6365;68.10;950
6366;10.72;133
6367;68.20;956
6368;94.12;1164
6369;35.12;493
6370;52.10.9;823
6371;45.11.3;566
6372;06.10.1;64
6373;31.09;469
6374;85.22;1109
6375;26.30.15;349
6376;64.91;900
6377;64.92.3;905
6378;10.13;99
6379;27.33;379
6380;26.30.17;350
6381;84.11.21;1071
6382;71.12.13;987
6383;85.14;1107
6384;35.30.14;505
6385;23.61;271
6386;41.20;528
6387;71.20;1003
6388;46.36;631
6389;90.01;1134
6390;24.45;302
6391;45.20;572
6392;45.19;567
6393;82.99;1063
6394;68.20.2;957
6395;52.29;845
6396;58.14;863
6397;70.10.1;977
6398;84.23.32;1097
6399;38.32.5;523
6401;70.22;980
6402;72.19;1012
6403;63.91;891
6404;66.21;941
6405;73.11;1019
6406;64.20;897
6408;42.11;529
6409;49.50.2;803
6410;46.76.1;716
6411;66.30;945
6412;64.19;896
6414;64.99;908
6415;52.23.11;840
6416;66.19.4;935
6417;46.69.5;689
6418;63.11;887
6419;47.24.2;734
6420;72.19;1012
6421;62.01;880
6422;49.4;796
6423;20.41.2;227
6424;06.10.1;64
6425;46.46.1;662
6426;84.23.18;1095
6427;46.69.5;689
6428;71.12;984
6430;46.21;607
6431;84.11.11;1067
6432;69.10;972
6433;20.30.2;224
6435;30.11;442
6436;28.92;424
6437;81.22;1055
6438;62.01;880
6439;84.11;1065
6440;46.69;684
6441;21.20;239
6442;70.22;980
6443;58.11;860
6444;10.51;119
6445;68.20;956
6446;85.12;1105
6447;85.14;1107
6448;70.22;980
6449;35.12;493
6450;84.11.21;1071
6451;46.34;625
6452;60.10;870
6453;10.51.2;121
6454;66.19.4;935
6455;61.10;873
6456;07.29.41;76
6457;49.32;793
6458;43.12.1;542
6459;46.52.1;675
6460;46.45;659
6461;49.4;796
6462;20.16;219
6463;46.69.9;691
6464;49.41;797
6465;62.01;880
6466;70.22;980
6467;77.12;1032
6468;68.20;956
6469;84.11.21;1071
6470;72.19;1012
6471;46.69;684
6472;47.11;722
6473;69.10;972
6474;62.01;880
6475;41.2;527
6476;64.99.5;915
6477;46.63;681
6479;35.11.2;490
6480;41.2;527
6481;10.20;106
6482;06.10.1;64
6483;72.19;1012
6484;33.14;482
6485;46.36.2;633
6486;71.12.2;989
6487;08.11.2;82
6488;46.69.9;691
6489;93.19;1156
6490;94.20;1166
6491;47.78;768
6492;10.71;131
6493;84.11.21;1071
6494;25.62;324
6495;68.20.2;957
6496;85.22;1109
6497;41.20;528
6498;71.20.5;1006
6499;84.11.21;1071
6500;84.11.12;1068
6503;10.61.2;127
6504;64.20;897
6505;23.63;274
6506;01.47.2;27
6507;25.50;321
6508;94.20;1166
6509;71.12.3;990
6510;84.11.3;1074
6511;73.20.1;1022
6513;64.91;900
6514;17.11;193
6515;03.22;49
6516;62.01;880
6518;94.12;1164
6519;35.13;495
6520;01.47;25
6521;01.47;25
6522;63.99.1;893
6525;85.14;1107
6526;64.9;899
6527;52.10.22;820
6528;35.14;496
6529;91.02;1141
6530;09.10;89
6531;64.20;897
6532;05.10.13;55
6533;94.11;1163
6534;90.01;1134
6535;52.21.22;830
6536;19.20;205
6537;30.20.32;449
6538;70.10.2;978
6539;52.10.3;821
6540;62.0;879
6541;01.49.2;28
6542;64.19;896
6543;85.21;1108
6544;46.72;697
6545;01.16;9
6546;46.21;607
6547;07.29.41;76
6548;70.22;980
6549;84.23.18;1095
6550;46.69.5;689
6551;10.20;106
6552;64.91;900
6553;78.10;1044
6554;71.12.3;990
6555;52.22.2;837
6556;82.99;1063
6557;10.71;131
6559;68.2;955
6560;46.51.2;673
6561;85.14;1107
6563;64.20;897
6565;30.30.32;459
6566;22.21;247
6567;47.22;730
6568;46.49.42;670
6569;46.6;676
6570;66.30;945
6571;65.12.1;920
6572;71.1;981
6573;28.12.1;392
6574;90.01;1134
6575;84.11.21;1071
6576;41.20;528
6577;49.39;794
6578;84.11.4;1080
6579;21.10;238
6580;47.73;765
6581;85.22;1109
6582;29.32;439
6583;56.29;857
6584;10.51;119
6585;27.90;383
6586;86.90.4;1126
6587;43.99.5;558
6588;94.99.3;1171
6589;65.12.2;921
6590;84.23.18;1095
6591;91.02;1141
6592;58.13;862
6593;23.13;255
6594;85.22;1109
6595;29.10.4;434
6597;28.13;394
6598;47.30;741
6599;20.30.2;224
6600;45.1;562
6601;70.10;976
6602;46.73;702
6603;84.11.11;1067
6604;01.41;18
6605;06.20;65
6606;24.10.6;290
6607;16.21.1;186
6608;21.20;239
6609;10.61;126
6611;10.72;133
6612;85.22;1109
6613;52.29;845
6614;10.13.2;101
6615;20.15;216
6618;01.11.1;2
6619;11.07;160
6620;52.29;845
6621;42.11;529
6622;62.09;885
6623;30.11;442
6624;65.12;919
6625;35.30.3;507
6626;47.11;722
6627;21.20.1;240
6628;62.01;880
6629;16.21.1;186
6630;22.11;243
6631;01.47;25
6632;63.11.1;888
6633;43.99.6;559
6634;68.32;968
6635;41.20;528
6636;82.30;1060
6637;28.99;427
6639;84.23.13;1093
6640;37.00;514
6641;07.29.1;72
6642;65.1;917
6643;84.11.21;1071
6644;46.71;693
6645;46.76.3;717
6646;71.12.12;986
6647;77.34;1035
6648;84.24;1099
6650;61.10;873
6651;01.47;25
6652;85.22;1109
6653;94.12;1164
6654;47.25.1;736
6655;01.13;3
6656;06.10.1;64
6657;41.20;528
6658;94.99;1170
6659;92.1;1148
6660;52.29;845
6661;85.22;1109
6662;94.99;1170
6663;94.99;1170
6664;22.22;248
6665;70.10;976
6666;72.19;1012
6667;72.19;1012
6668;85.21;1108
6669;71.20;1003
6670;64.20;897
6671;52.24.2;844
6672;72.19.9;1013
6673;29.32;439
6674;84.1;1064
6675;84.11.21;1071
6676;06.10.1;64
6677;27.32;378
6680;64.92.7;907
6681;68.31;960
6682;43.21;547
6683;65.12.1;920
6684;70.22;980
6685;35.11.2;490
6686;05.10.13;55
6687;33.15;483
6688;82.30;1060
6689;64.19;896
6690;64.19;896
6693;46.51;672
6694;10.4;113
6695;06.10.1;64
6696;73.11;1019
6699;71.20;1003
6700;46.4;646
6701;30.11;442
6702;35.11;488
6703;46.75.1;713
6704;68.20;956
6705;64.20;897
6706;70.22;980
6707;68.32;968
6708;84.25.1;1101
6709;70.10.1;977
6710;47.11;722
6711;38.32.3;521
6712;41.20;528
6714;82.99;1063
6715;84.25.1;1101
6716;41.2;527
6717;05.10.15;57
6718;01.1;0
6719;85.22;1109
6721;01.11.1;2
6722;84.11.13;1069
6723;71.12;984
6724;72.19;1012
6725;46.71;693
6726;52.21.2;828
6727;10.71;131
6728;06.10;63
6729;71.12.62;999
6730;84.23.32;1097
6731;46.46.1;662
6732;84.11.21;1071
6733;46.46;661
6734;46.71.1;694
6735;72.19;1012
6736;62.01;880
6737;79.11;1048
6738;30.30.3;458
6739;91.01;1140
6740;68.20;956
6741;26.51;356
6742;94.20;1166
6743;31.01;466
6744;56.10;855
6746;85.11;1104
6747;10.82;139
6748;84.11.3;1074
6749;86.10;1121
6750;58.13;862
6751;84.25;1100
6752;21.10;238
6753;94.92;1169
6754;01.25.1;15
6755;52.10;818
6756;46.72;697
6758;41.20;528
6759;61.20;876
6760;85.21;1108
6761;86.10;1121
6762;17.21;196
6763;94.12;1164
6764;21.10;238
6765;25.11;310
6767;84.11.21;1071
6768;47.2;728
6769;71.12.3;990
6770;07.29.1;72
6772;47.78.5;770
6773;20.59.5;234
6774;46.90;720
6776;84.11;1065
6778;68.10;950
6779;84.11.21;1071
6781;10.51;119
6782;36.00.2;513
6783;73.11;1019
6784;45.11.2;565
6785;14.13;172
6786;68.31.2;964
6787;94.12;1164
6788;64.19;896
6789;17.21;196
6790;49.10;781
6791;84.11.3;1074
6792;72.19;1012
6793;85.11;1104
6794;68.20.2;957
6796;08.11;80
6797;22.29;250
6799;73.20.1;1022
6800;64.99;908
6801;68.20.2;957
6802;52.29;845
6803;06.20;65
6805;68.32;968
6806;07.10;68
6807;66.12;930
6808;35.11.1;489
6809;85.41;1112
6810;49.4;796
6811;84.11.12;1068
6812;46.21;607
6813;63.11.1;888
6814;42.11;529
6815;70.10.1;977
6816;06.20.1;66
6817;47.1;721
6819;46.61;677
6820;47.22;730
6821;49.31;785
6822;94.91;1168
6823;68.32;968
6824;70.10.2;978
6825;25.40;320
6826;84.11.21;1071
6827;85.14;1107
6828;07.29.41;76
6829;85.22;1109
6830;16.10;181
6831;64.19;896
6832;46.34.21;628
6833;72.19;1012
6834;94.12;1164
6835;11.01.1;154
6836;52.29;845
6837;86.10;1121
6838;90.0;1133
6839;91.02;1141
6840;64.19;896
6841;06.10.1;64
6843;70.10.2;978
6844;93.19;1156
6845;52.24;842
6846;68.20.2;957
6847;85.11;1104
6848;73.20;1021
6850;68.20;956
6851;23.32;261
6852;52.29;845
6853;70.22;980
6854;71.12;984
6855;63.11.1;888
6856;70.22;980
6857;70.22;980
6858;46.74;708
6859;46.3;613
6860;84.11.3;1074
6861;68.20;956
6862;79.11;1048
6863;91.04.4;1147
6864;46.72;697
6865;21.20;239
6866;46.38.26;641
6867;71.12;984
6868;03.11;44
6869;62.01;880
6870;71.12.2;989
6871;14.39;177
6872;71.12;984
6873;26.51.4;359
6874;86.10;1121
6875;85.22;1109
6876;49.4;796
6877;20.16;219
6878;93.19;1156
6880;84.11.21;1071
6881;46.74.2;710
6882;06.20;65
6883;85.12;1105
6884;46.71.3;696
6885;24.5;305
6886;42.22;533
6887;47.78.3;769
6888;35.12;493
6889;70.22;980
6891;26.51.2;358
6892;64.19;896
6893;01.11.1;2
6894;52.22.1;834
6895;86.90.9;1127
6897;52.29;845
6898;64.19;896
6899;10.41.2;115
6900;11.05;158
6901;26.12;342
6902;22.23;249
6903;46.41;647
6904;84.11.21;1071
6905;25.40;320
6906;09.10.1;90
6907;28.22;400
6908;07.29.41;76
6909;84.11.3;1074
6910;68.32;968
6911;68.20.2;957
6912;61.1;872
6913;84.11.12;1068
6914;85.21;1108
6915;26.51.2;358
6916;46.46.2;663
6917;21.20;239
6918;85.41;1112
6919;25.93;329
6920;64.99.3;913
6921;29.1;429
6922;05.10.15;57
6924;70.22;980
6925;52.21.22;830
6926;46.46;661
6927;10.82;139
6928;29.10.5;435
6929;46.36.2;633
6930;64.19;896
6931;68.20;956
6932;46.21.14;611
6933;58.13;862
6934;62.01;880
6935;52.29;845
6936;64.19;896
6938;69.10;972
6939;01.11.1;2
6941;85.11;1104
6942;52.23.11;840
6943;46.42.1;649
6944;93.11;1153
6945;25.11;310
6946;93.11;1153
6947;10.51.1;120
6948;64.99.1;909
6949;84.11.21;1071
6950;10.32;109
6951;66.12;930
6952;10.89;146
6953;35.11.3;491
6955;25.11;310
6956;10.71;131
6957;85.22;1109
6958;84.11.3;1074
6959;60.20;871
6960;70.10.2;978
6961;20.16;219
6962;65.12.1;920
6963;64.19;896
6964;72.19;1012
6965;62.01;880
6966;64.91;900
6967;01.47;25
6968;72.19;1012
6970;46.90;720
6971;68.31.12;963
6973;52.10.21;819
6974;28.25.1;406
6975;86.10;1121
6976;06.10.1;64
6977;85.14;1107
6978;84.23.12;1092
6979;23.32;261
6980;85.14;1107
6981;64.99.5;915
6982;64.99;908
6983;45.1;562
6984;64.99;908
6985;27.12;373
6986;47.1;721
6988;68.20;956
6989;47.73;765
6990;01.41;18
6991;73.20.1;1022
6992;58.11;860
6993;64.19;896
6994;10.89;146
6995;66.30.9;948
6997;94.20;1166
6998;85.21;1108
6999;70.22;980
7001;68.32;968
7003;43.12;541
7004;52.23.11;840
7005;01.1;0
7006;01.50;31
7007;84.25;1100
7008;65.12;919
7009;05.10.13;55
7010;62.09;885
7011;64.20;897
7012;62.01;880
7013;84.11.11;1067
7014;94.12;1164
7015;70.10.2;978
7016;71.12.12;986
7017;46.11.31;584
7018;46.72;697
7019;86.90;1124
7020;58.13;862
7021;72.19;1012
7022;68.20.2;957
7023;85.21;1108
7024;46.72.21;700
7025;64.19;896
7026;47.19;726
7027;46.71.1;694
7028;51.21.2;817
7029;84.25.1;1101
7030;10.83;141
7031;30.11;442
7033;94.12;1164
7034;46.90;720
7035;22.21;247
7036;35.11;488
7037;71.20;1003
7038;69.10;972
7039;70.22;980
7040;20.16;219
7041;85.14;1107
7042;46.51.2;673
7043;24.42;299
7044;84.11.21;1071
7046;38.21;518
7047;58.11;860
7048;72.19;1012
7050;94.20;1166
7051;71.12.3;990
7052;68.20.2;957
7053;85.22;1109
7054;64.99;908
7055;46.69.5;689
7056;22.2;246
7057;46.49.33;668
7058;41.20;528
7059;10.13.2;101
7060;65.12;919
7061;10.73.1;134
7062;71.20.9;1010
7063;70.10.1;977
7064;56.29;857
7065;23.32;261
7066;27.40;380
7067;41.20;528
7068;52.29;845
7069;84.11.7;1083
7070;27.12;373
7071;10.4;113
7072;62.02;881
7073;01.11.1;2
7074;46.33;621
7075;52.24;842
7076;63.11;887
7077;30.30.3;458
7078;31.09;469
7079;94.12;1164
7080;49.4;796
7081;84.11.3;1074
7083;70.22;980
7084;84.11;1065
7085;10.71;131
7086;64.99;908
7087;21.10;238
7088;70.10.2;978
7089;84.11.12;1068
7090;85.22;1109
7091;68.20.2;957
7092;11.05;158
7093;72.20;1015
7094;41.20;528
7095;01.50;31
7096;46.69;684
7097;45.11.2;565
7098;65.12;919
7099;41.20;528
7101;82.11;1059
7102;07.29.41;76
7104;46.71;693
7105;10.39;110
7106;69.10;972
7107;35.12;493
7108;46.36.2;633
7110;63.99.1;893
7111;62.09;885
7112;70.22;980
7113;05.10.13;55
7114;33.14;482
7115;94.99;1170
7116;85.22;1109
7117;52.23.11;840
7118;79.11;1048
7119;20.1;207
7120;08.12;83
7121;32.99.9;479
7122;33.17;485
7123;10.73.1;134
7124;10.51;119
7125;85.30;1111
7126;72.19;1012
7127;77.11;1031
7128;47.3;740
7129;49.39.2;795
7130;85.21;1108
7131;11.07.1;161
7132;78.10;1044
7133;21.20.1;240
7134;49.3;784
7135;85.42;1116
7136;70.22;980
7137;33.15;483
7138;25.11;310
7139;24.20;293
7140;20.15;216
7141;52.24;842
7142;52.24.2;844
7143;21.20;239
7144;24.42;299
7145;70.22;980
7146;46.18.11;602
7147;21.20.1;240
7148;20.16;219
7149;63.11.1;888
7150;05.20.11;61
7152;94.99;1170
7155;64.99.3;913
7156;84.11.21;1071
7157;42.12;530
7158;50.20;807
7159;01.11.1;2
7161;46.75;712
7162;62.01;880
7163;52.10.3;821
7164;85.41;1112
7165;22.21;247
7166;84.11.3;1074
7167;01.11;1
7168;58.14;863
7170;64.19;896
7171;68.32.1;969
7172;22.22;248
7174;49.4;796
7175;70.10;976
7176;42.11;529
7177;21.1;237
7178;47.73;765
7179;72.19;1012
7180;84.24;1099
7182;85.14;1107
7183;84.11.3;1074
7184;09.10;89
7186;93.19;1156
7187;10.41.2;115
7188;96.09;1180
7189;68.20;956
7190;41.2;527
7191;84.11.7;1083
7192;85.22;1109
7193;66.12.1;931
7194;64.99;908
7195;64.99;908
7196;64.91;900
7197;72.19;1012
7198;93.12;1154
7199;46.34.2;627
7200;46.75;712
7201;46.31.2;617
7202;70.22;980
7203;52.29;845
7204;69.10;972
7207;68.20.2;957
7209;19.20.2;206
7213;68.20.2;957
7214;28.30.89;417
7215;01.70;37
7217;88.10;1131
7218;42.21;532
7219;85.22;1109
7220;84.11.21;1071
7221;71.12.2;989
7222;09.10;89
7223;68.20;956
7224;35.14;496
7225;84.11.21;1071
7227;71.12;984
7228;85.41;1112
7230;71.20.3;1005
7232;64.19;896
7234;73.11;1019
7235;36.00.2;513
7236;68.20.2;957
7237;47.19;726
7238;70.22;980
7239;09.10.9;92
7240;84.11.21;1071
7241;90.04;1136
7242;20.59.5;234
7244;68.10;950
7245;64.19;896
7246;84.11.3;1074
7247;01.46;24
7248;52.10;818
7249;85.22;1109
7250;64.19;896
7251;11.02;156
7252;84.11;1065
7253;03.1;43
7254;01.1;0
7255;62.01;880
7256;25.40;320
7258;82.30;1060
7259;84.11.12;1068
7261;84.11.21;1071
7262;72.19;1012
7263;93.13;1155
7264;64.99;908
7265;46.14;591
7266;01.11.1;2
7267;21.20;239
7268;64.99.1;909
7269;10.13.4;103
7270;36.00.1;512
7271;20.16;219
7272;19.20;205
7273;22.21;247
7274;28.13;394
7275;84.11.35;1078
7276;96.09;1180
7277;85.22;1109
7278;47.11.2;724
7279;42.21;532
7280;46.43.2;654
7281;06.10;63
7282;41.20;528
7283;85.22;1109
7284;24.20;293
7285;84.11.1;1066
7286;46.61;677
7287;84.11.3;1074
7288;46.69.5;689
7289;72.19;1012
7290;63.11;887
7291;56.29;857
7292;71.12.3;990
7293;94.99;1170
7294;64.19;896
7295;17.12;194
7296;70.22;980
7297;30.30.12;456
7298;72.19;1012
7300;20.14.7;215
7301;66.19.7;939
7302;56.10;855
7303;06.10.1;64
7304;46.61;677
7305;46.33;621
7306;68.20;956
7307;85.22;1109
7308;47.19;726
7309;49.31;785
7310;28.11.2;388
7311;72.19;1012
7312;69.10;972
7313;43.99;555
7314;84.11.21;1071
7315;01.46;24
7317;52.23;838
7318;35.13;495
7319;46.73.6;707
7321;27.32;378
7322;84.11.35;1078
7324;66.29.9;944
7325;01.4;17
7326;64.11;895
7327;49.20;783
7328;01.46;24
7329;84.11.21;1071
7330;46.11;583
7331;28.92;424
7332;46.73.6;707
7333;21.1;237
7334;84.24;1099
7335;84.23.32;1097
7336;41.20;528
7338;24.34;297
7339;24.10.12;285
7340;11.02;156
7341;28.29.22;409
7342;71.20;1003
7343;72.19;1012
7344;49.31.21;789
7345;71.12.2;989
7346;69;971
7347;70.22;980
7348;46.90;720
7349;09.10.9;92
7350;68.20.2;957
7351;30.20;445
7352;73.11;1019
7353;10.51;119
7354;73.20.1;1022
7355;01.47;25
7356;35.12.1;494
7357;62.01;880
7358;10.51;119
7360;52.23.11;840
7361;93.12;1154
7362;68.31.22;965
7363;45.11.2;565
7364;64.19;896
7365;62.01;880
7366;46.71;693
7367;49.41;797
7368;84.25.9;1102
7369;05.10.13;55
7370;68.20;956
7371;46.49.49;671
7372;62.02;881
7373;84.11.21;1071
7374;69.20.1;974
7375;41.20;528
7376;47.11.2;724
7377;84.11.21;1071
7378;64.99;908
7379;42.91.1;536
7380;68.32;968
7381;85.14;1107
7383;05.10.11;53
7384;85.11;1104
7385;41.20;528
7386;73.11;1019
7387;49.31.11;787
7388;38.22;519
7389;35.12;493
7390;90.01;1134
7391;49.4;796
7392;84.11.11;1067
7393;22.21;247
7394;90.04;1136
7395;32.50;475
7396;71.1;981
7398;46.33.3;624
7399;71.12.2;989
7400;70.22;980
7401;43.99;555
7402;46.51;672
7403;65.30;923
7404;94.12;1164
7406;93.11;1153
7407;72.19;1012
7409;58;859
7410;85.22;1109
7411;84.23.32;1097
7412;05.10.1;52
7413;46.69.3;687
7414;70.22;980
7415;93.29.9;1161
7416;28.25.1;406
7418;42.91;535
7419;64.19;896
7420;70.22;980
7421;84.11.22;1072
7422;11.07.1;161
7423;01.43.1;22
7424;51.10.1;813
7425;85.22;1109
7426;71.12.1;985
7427;64.19;896
7428;23.12;254
7429;86.10;1121
7430;85.42;1116
7431;07.29.1;72
7432;49.41.1;798
7433;85.22;1109
7434;88.10;1131
7435;64.20;897
7436;06.20;65
7437;45.11.2;565
7438;59.11;866
7439;45.19;567
7440;94.12;1164
7441;01.24;13
7442;84.11.21;1071
7443;62.01;880
7444;70.22;980
7445;62.01;880
