;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
21;64.19;896
22;25.11;310
23;84.11.35;1078
24;62.01;880
26;71.12.2;989
27;47.30;741
28;77.40;1043
29;70.22;980
30;46.49.3;667
31;46.36.3;634
32;17.1;192
33;29.10.4;434
34;35.30.1;503
35;13.20.3;165
36;84.23.18;1095
37;68.20;956
38;86.10;1121
39;08.12;83
40;23.32;261
41;32.99.1;477
42;68.10;950
43;53.20;847
44;10.72;133
46;64.99;908
47;30.11;442
48;70.10.2;978
49;94.99;1170
50;85.14;1107
51;28.41.1;419
52;68.31.11;962
53;88.99;1132
54;46.49;666
55;30.11;442
56;01.47;25
57;09.10.9;92
58;30.30.13;457
59;71.12.2;989
60;10.61;126
61;10.82;139
62;68.10;950
63;42.13;531
64;22.23;249
65;70.22;980
66;71.20.61;1008
67;84.25.9;1102
68;16.21.11;187
69;10.73.1;134
70;64.99.1;909
71;10.62;129
72;47.30;741
73;79.11;1048
75;33.16;484
76;41.20;528
77;64.99.1;909
78;84.11.21;1071
79;46.73.6;707
80;47.72.1;764
81;72.19;1012
82;64.19;896
83;07.29.41;76
84;84.11.21;1071
85;63.11.1;888
86;64.20;897
87;91.02;1141
88;70.22;980
89;62.01;880
90;94.2;1165
91;64.99;908
92;62.01;880
93;47.30;741
94;26.51;356
95;46.69.5;689
96;86.10;1121
97;10.62.1;130
98;47.11;722
99;62.09;885
100;85.21;1108
101;05.10.1;52
102;72.19;1012
103;84.11.4;1080
104;85.22;1109
105;85.22;1109
106;64.19;896
107;70.22;980
108;84.11.11;1067
109;94.99;1170
110;46.13.2;590
111;28.25;405
112;68.1;949
113;22.21;247
114;70.22;980
115;88.10;1131
116;93.19;1156
117;36.0;510
118;10.20;106
119;35.22;499
120;68.20.2;957
121;62.01;880
122;31.0;465
123;01.50;31
124;92.22;1150
125;35.11.1;489
126;09.10.9;92
127;46.32.1;619
128;84.11.12;1068
129;05.10.13;55
130;47.41;743
131;68.10;950
133;52.10;818
134;70.22;980
135;93.19;1156
136;84.11.21;1071
137;05.10.11;53
138;61.1;872
139;84.23.18;1095
140;32.99.8;478
141;88.10;1131
142;91.01;1140
143;20.20;221
145;28.9;422
146;94.99;1170
147;85.21;1108
148;47.19;726
149;05.10.15;57
150;70.22;980
151;10.72;133
152;42.11;529
153;94.20;1166
154;14.12;171
155;64.19;896
156;01.50;31
157;62.01;880
158;25.11;310
159;84.11.3;1074
160;21.20;239
161;71.12.3;990
162;63.11.1;888
163;72.19;1012
164;70.10.2;978
165;72.19;1012
166;41.20;528
167;29.31;438
168;68.20.2;957
169;72.19;1012
170;58.14;863
171;91.03;1142
172;64.9;899
173;29.31;438
174;85.13;1106
175;84.11.21;1071
176;80.10;1052
177;24.10.6;290
178;68.32;968
179;13.92;168
180;84.23.12;1092
181;08.11.2;82
182;47.19;726
183;32.40;473
184;46.71;693
185;03.11;44
186;47.30;741
188;84.11.21;1071
189;35.14;496
190;70.22;980
191;84.11.21;1071
192;85.22;1109
193;94.12;1164
194;10.20;106
195;62.01;880
196;53.20.3;849
197;06.10.1;64
198;01.47;25
199;11.05;158
200;47.11;722
201;70.22;980
202;70.10.2;978
204;85.22;1109
205;85.13;1106
206;10.82.2;140
207;94.12;1164
208;71.20;1003
209;68.32.1;969
210;10.71;131
211;36.00.1;512
212;25.40;320
213;36.00.2;513
214;46.4;646
215;85.41;1112
216;46.71;693
217;71.11.1;983
218;49.41;797
219;66.11.3;927
220;84.25;1100
221;94.99;1170
222;61.10.1;874
223;35.30.5;509
224;10.11;95
225;52.23.11;840
226;21.20;239
227;63.12.1;890
228;28.41;418
229;71.12;984
230;53.20;847
231;10.13;99
233;70.22;980
234;71.12.5;995
236;63.91;891
237;66.19.4;935
238;62.0;879
239;84.11.21;1071
240;07.29.1;72
241;25.62;324
242;69.10;972
243;62.02;881
244;31.09;469
245;85.23;1110
246;70.10.1;977
247;85.21;1108
248;72.19;1012
249;94.99;1170
250;20.59.4;233
251;71.12.1;985
252;10.62.1;130
253;94.99;1170
254;46.21.11;608
255;90.04.3;1139
256;85.14;1107
258;64.99;908
260;45.19;567
261;46.71;693
263;68.32;968
264;28.93;426
265;74.90.2;1027
266;58.14;863
267;72.19;1012
268;27.90;383
269;13.2;164
270;86.90.1;1125
271;71.11.1;983
272;30.11;442
273;72.19;1012
274;45.20.3;575
275;43.99;555
276;72.19;1012
277;46.90;720
278;84.11.21;1071
279;35.12;493
280;07.29.3;73
281;26.51.2;358
282;30.11;442
283;85.14;1107
284;72.19;1012
285;86.21;1122
286;24.10.2;286
287;25.11;310
288;64.99.11;910
289;84.11.21;1071
290;91.02;1141
291;62.03.13;884
292;49.31.21;789
293;85.22;1109
294;82.99;1063
296;52.29;845
297;35.30.14;505
298;30.20.33;450
299;27.12;373
300;85.22;1109
301;64.99;908
302;38.32.2;520
303;25.40;320
304;43.21;547
305;45.1;562
306;20.42;229
307;66.19.6;937
309;68.32;968
310;45.40.1;581
311;46.75;712
312;01.49.22;29
313;46.69.2;686
314;86.23;1123
315;35.11.1;489
316;24.10;284
317;20.20;221
318;51.10.1;813
320;93.2;1157
321;68.20;956
322;64.99.3;913
323;52.10.21;819
