;company_name;Полное название организации;Английское название;Адрес;Уставный капитал;ОКФС;ОКОПФ;ОКОГУ;ИНН;ОГРН;КПП;ОКАТО;ОКПО;ОКТМО;main_okved_id;main_okved_name;second_okveds
215;АВТОМОБИЛИ КОРЕИ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМОБИЛИ КОРЕИ""";"OOO ""AVTOMOBILI KOREI""";Пермский кр., г. Пермь, ул. Спешилова, д. 77;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5902038932;1165958102199;590201001;Пермский край, Пермь, Ленинский;04384693;Пермский край, Городские округа Пермского края, Пермский, г Пермь;45.11.2;Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах;{'Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами': '45.11.1'}
216;АЛЬЯНС В СФЕРЕ ИИ, АССОЦИАЦИЯ;"АССОЦИАЦИЯ ""АЛЬЯНС В СФЕРЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА""";"ASSOTSIATSIYA ""ALYANS V SFERE II""";"г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Якиманка, д. 26, помещ. 1/П;19";;Частная собственность;Объединения юридических лиц;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;9725034035;1207700257643;770601001;Город Москва столица Российской Федерации город федерального значения, Центральный, Якиманка;44969201;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Якиманка;94.11;Деятельность предпринимательских членских некоммерческих организаций;{'Научные исследования и разработки в области естественных и технических наук прочие': '72.19'}
217;ЭСАБ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭСАБ""";"LIMITED LIABILITY COMPANY ""ESAB""";г. Москва, вн.тер.г. муниципальный округ Таганский, ул Станиславского, д. 21, стр. 2, этаж ТЕХНИЧЕСКИЙ, помещ./комн. I/1;10 000 000;Собственность иностранных юридических лиц;Общества с ограниченной ответственностью;Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства;7704219345;1037739258919;770901001;Город Москва столица Российской Федерации город федерального значения, Центральный, Таганский;55224353;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Таганский;46.9;Торговля оптовая неспециализированная;{'Производство прочих химических продуктов, не включенных в другие группировки': '20.59.5'}
218;САКУРА ЛОДЖИСТИКС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САКУРА ЛОДЖИСТИКС""";"OOO ""SAKURA LODZHISTIKS""";г. Москва, шоссе Алтуфьевское, д. 31 к. 1 этаж 4 пом. I ком. 22;4 220 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7715297553;1027739069192;771501001;Город Москва столица Российской Федерации город федерального значения, Северо-Восточный, Отрадное;20662173;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Отрадное;52.29;Деятельность вспомогательная прочая, связанная с перевозками;{'Деятельность автомобильного грузового транспорта': '49.41'}
219;ДНС ГРУПП, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДНС ГРУПП""";"OOO ""DNS GRUPP""";Приморский кр., г. Владивосток, проспект 100-Летия Владивостока, д. 155 к. 3 офис 5;2 417 496;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2543083050;1152543021410;254301001;Приморский край, Владивосток, Советский;39874620;Приморский край, Городские округа Приморского края, Владивостокский, г Владивосток;70.22;Консультирование по вопросам коммерческой деятельности и управления;{'Деятельность в области права': '69.10'}
220;ВИЗИТ-ФАРМ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЗИТ-ФАРМ""";"OOO ""VIZIT-FARM""";Воронежская обл., г. Воронеж, ул. Моисеева, д. 57 офис 2;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3662075780;1023601582740;366401001;Воронежская область, Воронеж;13491695;Воронежская область, Городские округа Воронежской области, г Воронеж;47.73;Торговля розничная лекарственными средствами в специализированных магазинах (аптеках);{'Торговля оптовая фармацевтической продукцией': '46.46.1'}
221;ФГБОУ ВО ЯГМУ МИНЗДРАВА РОССИИ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";GBOU VPO YAGMU MINZDRAVA ROSSII;Ярославская обл., г. Ярославль, ул. Революционная, д. 5;;Федеральная собственность;Федеральные государственные бюджетные учреждения;Министерство здравоохранения Российской Федерации;7604002250;1027600693812;760401001;Ярославская область, Ярославль, Кировский;01963580;Ярославская область, Городские округа Ярославской области, г Ярославль;85.22;Образование высшее;{'Деятельность по созданию и использованию баз данных и информационных ресурсов': '63.11.1'}
222;ГКБ № 52 ДЗМ, ГБУЗ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 52 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";"GBUZ ""GKB N 52 DZM""";г. Москва, ул. Пехотная, д. 3;;Собственность субъектов Российской Федерации;Государственные бюджетные учреждения субъектов Российской Федерации;- здравоохранения;7734115329;1027739078652;773401001;Город Москва столица Российской Федерации город федерального значения, Северо-Западный, Щукино;01934495;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Щукино;86.10;Деятельность больничных организаций;{'Научные исследования и разработки в области естественных и технических наук прочие': '72.19'}
223;ДОТО;ДЕПАРТАМЕНТ ОБРАЗОВАНИЯ ТОМСКОЙ ОБЛАСТИ;DOTO;Томская обл., г. Томск, проспект Фрунзе, д. 14;;Собственность субъектов Российской Федерации;Государственные казенные учреждения субъектов Российской Федерации;- образования и науки;7021019573;1027000863670;701701001;Томская область, Томск;02539418;Томская область, Городские округа Томской области, г Томск;84.11.21;Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации;
224;ПОРШЕ РУССЛАНД, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОРШЕ РУССЛАНД""";OOO PORSCHE RUSSLAND;г. Москва, шоссе Ленинградское, д. 71А к. 10;34 000 000;Собственность иностранных юридических лиц;Общества с ограниченной ответственностью;Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства;7703374404;1037703036931;774301001;Город Москва столица Российской Федерации город федерального значения, Северный, Левобережный;70049485;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Левобережный;45.11.1;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;{'Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах': '45.11.2'}
225;ВОЛЛМАКС КОНСТРАКШН, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛЛМАКС КОНСТРАКШН""";"OOO ""VOLLMAKS KONSTRAKSHN""";г. Москва, вн.тер.г. муниципальный округ Беговой, пр-кт Ленинградский, д. 31А, стр. 1, помещ. 2/13;40 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7710953265;5137746158369;771401001;Город Москва столица Российской Федерации город федерального значения, Северный, Беговой;26126907;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Беговой;43.31;Производство штукатурных работ;{'Производство прочих деревянных строительных конструкций и столярных изделий': '16.23'}
226;ЗАУРАЛЬЕ, Х.К.;"КУРГАНСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ - ХОККЕЙНЫЙ КЛУБ ""ЗАУРАЛЬЕ""";"Kh.K. ""ZAURALE""";Курганская обл., г. Курган, микрорайон 1а, д. 7;;Собственность общественных объединений;Общественные организации;Региональные и местные общественные объединения;4501121885;1064500010508;450101001;Курганская область, Курган;78737523;Курганская область, Городские округа Курганской области, г Курган;94.99;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;{'Деятельность в области спорта прочая': '93.19'}
227;ТК РУСГИДРО, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСПОРТНАЯ КОМПАНИЯ РУСГИДРО""";"AO ""TK RUSGIDRO""";Хакасия респ., г. Саяногорск, рабочий пос. Черемушки, д. 101;531 671 380;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1902018248;1031900676356;190201001;Республика Хакасия, Саяногорск, Черемушки;42213224;Хакасия (Республика), Городские округа Республики Хакасии, г Саяногорск, рп Черёмушки;49.41.2;Перевозка грузов неспециализированными автотранспортными средствами;{'Производство пара и горячей воды (тепловой энергии) котельными': '35.30.14'}
228;БАНК СИНАРА, АО;АКЦИОНЕРНОЕ ОБЩЕСТВО БАНК СИНАРА;BANK SINARA;Свердловская обл., г. Екатеринбург, ул. Куйбышева, стр. 75;4 221 780 535;Частная собственность;Непубличные акционерные общества;Центральный банк Российской Федерации;6608003052;1026600000460;668501001;Свердловская область, Екатеринбург, Октябрьский;09320752;Свердловская область, Городские округа Свердловской области, г Екатеринбург;64.19;Денежное посредничество прочее;{'Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая': '62.09'}
229;ИПКОН РАН;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ПРОБЛЕМ КОМПЛЕКСНОГО ОСВОЕНИЯ НЕДР ИМ. АКАДЕМИКА Н.В. МЕЛЬНИКОВА РОССИЙСКОЙ АКАДЕМИИ НАУК;INSTITUTE OF COMPREHENSIVE EXPLOITATION OF MINERAL RESOURCES RUSSIAN ACADEMY OF SCIENCES;г. Москва, туп. Крюковский, д. 4;;Федеральная собственность;Федеральные государственные бюджетные учреждения;Министерство науки и высшего образования Российской Федерации;7722013467;1037700121150;772201001;Город Москва столица Российской Федерации город федерального значения, Юго-Восточный, Лефортово;04683349;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Лефортово;72.19;Научные исследования и разработки в области естественных и технических наук прочие;{'Издание книг': '58.11'}
230;ВОЛГОГРАДНЕФТЕПРОЕКТ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГОГРАДНЕФТЕПРОЕКТ""";"OOO ""VOLGOGRADNEFTEPROEKT""";Волгоградская обл., г. Волгоград, ул. Лесогорская, д. 85А;12 500;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3442083633;1063459048168;344301001;Волгоградская область, Волгоград, Дзержинский;95236768;Волгоградская область, Городские округа Волгоградской области, г Волгоград;71.12;Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях;{'Строительство жилых и нежилых зданий': '41.20'}
231;СИНТЕЗ, ПАО;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНОЕ КУРГАНСКОЕ ОБЩЕСТВО МЕДИЦИНСКИХ ПРЕПАРАТОВ И ИЗДЕЛИЙ ""СИНТЕЗ""";"""SINTEZ"" PJSC";Курганская обл., г. Курган, проспект Конституции, д. 7;352 469;Иная смешанная российская собственность;Публичные акционерные общества;Хозяйственные общества, образованные из государственных унитарных предприятий, муниципальных унитарных предприятий, добровольных объединений государственных предприятий;4501023743;1024500531296;450101001;Курганская область, Курган;00480201;Курганская область, Городские округа Курганской области, г Курган;21.20.1;Производство лекарственных препаратов для медицинского применения;{'Производство готовых кормов для животных, содержащихся на фермах': '10.91'}
232;ОБОГАТИТЕЛЬНОЕ ОБОРУДОВАНИЕ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБОГАТИТЕЛЬНОЕ ОБОРУДОВАНИЕ""";"OOO ""OBOGATITELNOE OBORUDOVANIE""";Воронежская обл., г. Воронеж, ул. Чебышева, д. 13 пом. 54;10 050;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3663056638;1053600481395;366301001;Воронежская область, Воронеж;79263197;Воронежская область, Городские округа Воронежской области, г Воронеж;28.92;Производство машин и оборудования для добычи полезных ископаемых и строительства;{'Производство прочих машин и оборудования специального назначения, не включенных в другие группировки': '28.99'}
233;КДВ, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КДВ""";«KDV» JSC;Томская обл., г. Томск, проспект Мира, д. 20;1 160 183 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7017166840;1067017180350;701701001;Томская область, Томск;71731658;Томская область, Городские округа Томской области, г Томск;64.20;Деятельность холдинговых компаний;{'Вложения в ценные бумаги и деятельность дилерская': '64.99.1'}
234;ТС ТЕХНИК, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТС ТЕХНИК""";TS TECHNIK LLC.;Тюменская обл., г. Тюмень, ул. Сергея Ильюшина, д. 12;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7204183972;1127232059701;720301001;Тюменская область, Тюмень, Калининский;12517263;Тюменская область, Городские округа Тюменской области, г Тюмень;52.23;Деятельность вспомогательная, связанная с воздушным и космическим транспортом;{'Торговля оптовая прочими машинами и оборудованием': '46.69'}
235;АМ! ГРУПП, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМ ГРУПП""";"OOO ""AM GRUPP""";г. Москва, проезд Петровско-Разумовский, д. 10 кв. 105;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7721707543;1107746904660;771401001;Город Москва столица Российской Федерации город федерального значения, Северный, Савеловский;68930265;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Савеловский;68.3;Операции с недвижимым имуществом за вознаграждение или на договорной основе;{'Деятельность ресторанов и услуги по доставке продуктов питания': '56.10'}
236;АДМИНИСТРАЦИЯ КОЗЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;АДМИНИСТРАЦИЯ КОЗЛОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЧУВАШСКОЙ РЕСПУБЛИКИ;ADMINISTRATSIYA KOZLOVSKOGO MUNITSIPALNOGO OKRUGA;Чувашская Республика - Чувашия, м.о. Козловский, г Козловка, ул Ленина, д. 55;;Муниципальная собственность;Муниципальные казенные учреждения;Местные администрации (исполнительно-распорядительные органы) муниципальных округов;2100001964;1222100008426;210001001;Чувашская Республика - Чувашия, Козловский район, Козловка;98170403;Чувашская Республика-Чувашия, Муниципальные округа Чувашской Республики - Чувашии, Козловский муниципальный округ, г Козловка;84.11.3;Деятельность органов местного самоуправления по управлению вопросами общего характера;
237;КРАСМАШ, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОЯРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";"AO ""KRASMASH""";"Красноярский кр., г. Красноярск, проспект Им.Газеты ""Красноярский Рабочий"", д. 29";31 473 892 000;Смешанная российская собственность с долей федеральной собственности;Непубличные акционерные общества;Хозяйственные общества, образованные из государственных унитарных предприятий, муниципальных унитарных предприятий, добровольных объединений государственных предприятий;2462206345;1082468060553;246201001;Красноярский край, Красноярск, Ленинский;06606330;Красноярский край, Городские округа Красноярского края, г Красноярск;30.30.44;Производство межконтинентальных баллистических ракет;{'Производство промышленных газов': '20.11'}
238;ФСК-СЕВЕРО-ЗАПАД, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНАНСОВО-СТРОИТЕЛЬНАЯ КОРПОРАЦИЯ ""ЛИДЕР СЕВЕРО-ЗАПАД""";"OOO ""FSK ""LIDER SEVERO-ZAPAD""";Ленинградская обл., Всеволожский район, пос. Бугры, бульвар Воронцовский, д. 11 к. 1 пом. 7-Н;40 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7802847404;1147847002137;470301001;Ленинградская область, Всеволожский район, п Бугры;33143996;Ленинградская область, Муниципальные районы Ленинградской области, Всеволожский мун. р-н, Сельские поселения Всеволожского муниципального района, Бугровское, п Бугры;71.12.2;Деятельность заказчика-застройщика, генерального подрядчика;{'Строительство жилых и нежилых зданий': '41.20'}
239;СФФ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СФФ""";"OOO ""SFF""";Удмуртская Респ, м.о. Можгинский район, д Николо-Сюга, ул Лесная, д. 6;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1800005391;1231800015787;180001001;Удмуртская Республика, Можгинский район, Большеучинский, д Николо-Сюга;93082611;Удмуртская Республика, Муниципальные округа Удмуртской Республики, Муниципальный округ Можгинский район, д Николо-Сюга;46.46;Торговля оптовая фармацевтической продукцией;{'Разборка и снос зданий': '43.11'}
240;НОВАЦИЯ+, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЦИЯ+""";"""NOVACIYA+ CO. LTD""";Сахалинская обл., Анивский район, с. Рыбацкое, ул. Береговая, д. 5;310 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;6510005208;1026500538085;651001001;Сахалинская область, Анивский район, с Рыбацкое;48718830;Сахалинская область, Городские округа Сахалинской области, Анивский, с Рыбацкое;47.1;Торговля розничная в неспециализированных магазинах;{'Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах': '47.11'}
241;ГАЗПРОМ ДОБЫЧА ТОМСК, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ ДОБЫЧА ТОМСК""";"JSC ""GAZPROM DOBYCHA TOMSK""";Томская обл., г. Томск, ул. Большая Подгорная, д. 73;100 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7019035722;1027000905140;701701001;Томская область, Томск;46625260;Томская область, Городские округа Томской области, г Томск;06.20;Добыча природного газа и газового конденсата;{'Выращивание однолетних культур': '01.1'}
242;РИТЕЙЛСЕРВИС 27, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТЕЙЛСЕРВИС 27""";"OOO ""RITEILSERVIS 27""";Хабаровский кр., г. Хабаровск, ул. Зеленая, д. 3А офис 104;1 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2723187019;1162724064315;272401001;Хабаровский край, Хабаровск, Железнодорожный;02167276;Хабаровский край, Городские округа Хабаровского края, г Хабаровск;47.19;Торговля розничная прочая в неспециализированных магазинах;{'Деятельность агентов по оптовой торговле пивом': '46.17.23'}
243;НМИЦ ДГОИ ИМ. ДМИТРИЯ РОГАЧЕВА МИНЗДРАВА РОССИИ, ФГБУ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ДЕТСКОЙ ГЕМАТОЛОГИИ, ОНКОЛОГИИ И ИММУНОЛОГИИ ИМЕНИ ДМИТРИЯ РОГАЧЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";Federal research center of pediatric hematology, oncology and immunology named after Dmitry Rogachev;г. Москва, ул. Саморы Машела, д. 1;;Федеральная собственность;Федеральные государственные бюджетные учреждения;Министерство здравоохранения Российской Федерации;7728008953;1027739507212;772801001;Город Москва столица Российской Федерации город федерального значения, Юго-Западный, Обручевский;13157861;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 300 000), муниципальный округ Обручевский;72.19;Научные исследования и разработки в области естественных и технических наук прочие;{'Производство фармацевтических субстанций': '21.10'}
244;БИОХИМ-СЕРВИС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОХИМ-СЕРВИС""";"OOO ""BIOKHIM-SERVIS""";Белгородская обл., г. Шебекино, ул. Нежегольское Шоссе, д. 2;48 239 096;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3120011056;1023101331571;312001001;Белгородская область, Шебекино;04535258;Белгородская область, Городские округа Белгородской области, Шебекинский, г Шебекино;10.91.3;Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов;{'Производство прочих изделий из гипса, бетона или цемента': '23.69'}
245;ГУТТИЕРА, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГУТТИЕРА""";"OOO ""GUTTIERA""";Сахалинская обл., г. Южно-Сахалинск, ул. Емельянова А.О., д. 37А;1 313 131;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;6501166833;1066501018000;650101001;Сахалинская область, Южно-Сахалинск;93114937;Сахалинская область, Городские округа Сахалинской области, г Южно-Сахалинск;47.11;Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах;{'Торговля розничная прочая в неспециализированных магазинах': '47.19'}
246;СК ПГС-ПРОЕКТ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ПГС-ПРОЕКТ""";"OOO ""SK PGS-PROEKT""";Воронежская обл, г.о. город Воронеж, г Воронеж, ул Ростовская, д. 80А, кв. 82;100 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3663159753;1223600014560;366301001;Воронежская область, Воронеж;78957934;Воронежская область, Городские округа Воронежской области, г Воронеж;41.10;Разработка строительных проектов;{'Строительство жилых и нежилых зданий': '41.20'}
247;ЯРОСЛАВСКИЙ ЗАВОД КРАСНЫЙ МАЯК , ПАО ЯЗКМ, ПАО;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯРОСЛАВСКИЙ ЗАВОД ""КРАСНЫЙ МАЯК""";"PAO ""YAROSLAVSKI ZAVOD ""KRASNY MAYAK"", PAO ""YAZKM""";Ярославская обл., г. Ярославль, ул. Республиканская, д. 3;2 254 200;Частная собственность;Публичные акционерные общества;Приватизированные предприятия;7601000022;1027600838935;760601001;Ярославская область, Ярославль, Ленинский;00239942;Ярославская область, Городские округа Ярославской области, г Ярославль;27.11.1;Производство электродвигателей, генераторов и трансформаторов, кроме ремонта;{'Литье легких металлов': '24.53'}
248;РОССИИ ПО ТОМСКОЙ ОБЛАСТИ, СУ СК;СЛЕДСТВЕННОЕ УПРАВЛЕНИЕ СЛЕДСТВЕННОГО КОМИТЕТА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ТОМСКОЙ ОБЛАСТИ;SU SK ROSSII PO TOMSKOI OBLASTI;Томская обл., г. Томск, проспект Кирова, д. 51;;Федеральная собственность;Федеральные государственные казенные учреждения;Следственный комитет Российской Федерации;7017276722;1117017000396;701701001;Томская область, Томск;82638436;Томская область, Городские округа Томской области, г Томск;84.2;Предоставление государственных услуг обществу;
249;СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ТПУ ТЕРЕХОВО 28, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ТПУ ""ТЕРЕХОВО 28""";"OOO ""SPETSIALIZIROVANNY ZASTROISHCHIK ""TPU ""TEREKHOVO 28""";г. Москва, вн.тер.г. муниципальный округ Раменки, ул Мосфильмовская, д. 70, этаж/ком. ПОДЗЕМНЫЙ 5/334;3 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;9709057116;1197746702933;772901001;Город Москва столица Российской Федерации город федерального значения, Западный, Раменки;42446649;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Раменки;41.20;Строительство жилых и нежилых зданий;{'Разработка строительных проектов': '41.10'}
250;НИАС-ЦЕНТР, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ИНЖИНИРИНГОВЫЙ ЦЕНТР АРХИТЕКТУРЫ И СТРОИТЕЛЬСТВА""";"OOO ""NIAS-TSENTR""";Свердловская обл., г. Екатеринбург, ул. Малышева, стр. 51 офис 8/22;300 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;6658457573;1146658011180;668501001;Свердловская область, Екатеринбург, Октябрьский;39912237;Свердловская область, Городские округа Свердловской области, г Екатеринбург;71.1;Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях;{'Прочие виды полиграфической деятельности': '18.12'}
251;ТРАК ПРОДАКШН РУС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАК ПРОДАКШН РУС""";Truck Production Rus LLC;г. Санкт-Петербург, пос. Шушары, ул. Мира, д. 7 литера А;12 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7820046975;1167847056376;782001001;Город Санкт-Петербург город федерального значения, Пушкинский;34351780;Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 300 000), поселок Шушары;29.10;Производство автотранспортных средств;{'Производство электрического и электронного оборудования для автотранспортных средств': '29.31'}
